"idmutation";"idmutinvar";"idopendata";"idnatmut";"codservch";"refdoc";"datemut";"anneemut";"moismut";"coddep";"libnatmut";"vefa";"valeurfonc";"nbdispo";"nblot";"nbcomm";"l_codinsee";"nbsection";"l_section";"nbpar";"l_idpar";"nbparmut";"l_idparmut";"nbsuf";"sterr";"nbvolmut";"nblocmut";"l_idlocmut";"nblocmai";"nblocapt";"nblocdep";"nblocact";"nbapt1pp";"nbapt2pp";"nbapt3pp";"nbapt4pp";"nbapt5pp";"nbmai1pp";"nbmai2pp";"nbmai3pp";"nbmai4pp";"nbmai5pp";"sbati";"sbatmai";"sbatapt";"sbatact";"sapt1pp";"sapt2pp";"sapt3pp";"sapt4pp";"sapt5pp";"smai1pp";"smai2pp";"smai3pp";"smai4pp";"smai5pp";"codtypbien";"libtypbien"
3074887;"c33780a2f1019116faeb5f3c50cb846c";"c33780a2f1019116faeb5f3c50cb846c";1;;;"2017-12-05";2017;12;44;"Vente";"False";168000;1;1;1;"['44204']";1;"['BB']";1;"['44204000BB0127']";0;"None";0;0;0;1;"['442040003642064_0']";1;0;0;0;0;0;0;0;0;0;0;0;0;1;72;72;0;0;0;0;0;0;0;0;0;0;0;72;111;"UNE MAISON"
3074923;"f443e6012a50371e9b5f7216f8eadb8e";"f443e6012a50371e9b5f7216f8eadb8e";1;;;"2017-05-03";2017;5;44;"Vente";"False";131740;1;0;1;"['44204']";1;"['AD']";1;"['44204000AD0265']";1;"['44204000AD0265']";1;435;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;"TERRAIN DE TYPE TAB"
3075084;"12803c0af1348d7ee852e08bbb59df9d";"12803c0af1348d7ee852e08bbb59df9d";1;;;"2017-05-02";2017;5;44;"Vente";"False";228000;1;0;1;"['44204']";1;"['AY']";2;"['44204000AY0030', '44204000AY0233']";2;"['44204000AY0030', '44204000AY0233']";3;7255;0;1;"['442040003635526_0']";1;0;0;0;0;0;0;0;0;0;0;1;0;0;74;74;0;0;0;0;0;0;0;0;0;74;0;0;111;"UNE MAISON"
3075250;"716b0064cd1caa1d488544da5112b21f";"716b0064cd1caa1d488544da5112b21f";1;;;"2017-02-17";2017;2;44;"Vente";"False";281000;1;0;1;"['44204']";1;"['AL']";1;"['44204000AL0268']";1;"['44204000AL0268']";1;651;0;1;"['442040003633225_0']";1;0;0;0;0;0;0;0;0;0;0;1;0;0;72;72;0;0;0;0;0;0;0;0;0;72;0;0;111;"UNE MAISON"
3076047;"c406f1aeb27546ae7bf808c93af6116d";"c406f1aeb27546ae7bf808c93af6116d";1;;;"2017-12-21";2017;12;44;"Vente";"False";3275;1;0;1;"['44204']";1;"['AX']";1;"['44204000AX0263']";1;"['44204000AX0263']";1;131;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229;"TERRAIN ARTIFICIALISE MIXTE"
3076141;"5fce8e4bad6c41ac0f26089f93755fb3";"5fce8e4bad6c41ac0f26089f93755fb3";1;;;"2017-06-07";2017;6;44;"Vente";"False";246700;1;0;1;"['44204']";1;"['BA']";1;"['44204000BA0272']";1;"['44204000BA0272']";2;1031;0;1;"['442040003636662_0']";1;0;0;0;0;0;0;0;0;0;0;0;1;0;88;88;0;0;0;0;0;0;0;0;0;0;88;0;111;"UNE MAISON"
3076493;"d42991d433f5ac21a75d1ed95d61c8cd";"d42991d433f5ac21a75d1ed95d61c8cd";1;;;"2017-03-24";2017;3;44;"Vente";"False";265000;1;0;1;"['44204']";1;"['AO']";1;"['44204000AO0355']";1;"['44204000AO0355']";1;347;0;1;"['442040003634437_0']";1;0;0;0;0;0;0;0;0;0;0;0;1;0;90;90;0;0;0;0;0;0;0;0;0;0;90;0;111;"UNE MAISON"
3076521;"b30dc4c4aa3ae58df0f6768a046d3b0b";"b30dc4c4aa3ae58df0f6768a046d3b0b";1;;;"2017-10-31";2017;10;44;"Vente";"False";87500;1;0;1;"['44204']";1;"['AR']";1;"['44204000AR0367']";1;"['44204000AR0367']";1;489;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;"TERRAIN DE TYPE TAB"
3076642;"400c6cdcc7314b290eb201b8683a4885";"400c6cdcc7314b290eb201b8683a4885";1;;;"2017-01-13";2017;1;44;"Vente";"False";208000;1;0;1;"['44204']";1;"['AY']";1;"['44204000AY0222']";1;"['44204000AY0222']";1;395;0;1;"['442040003633171_0']";1;0;0;0;0;0;0;0;0;0;0;1;0;0;64;64;0;0;0;0;0;0;0;0;0;64;0;0;111;"UNE MAISON"
3076802;"7a1ed6ed3b6d96103052fea33b643e2f";"7a1ed6ed3b6d96103052fea33b643e2f";1;;;"2017-05-04";2017;5;44;"Vente";"False";132000;1;2;1;"['44204']";1;"['AZ']";1;"['44204000AZ0141']";0;"None";0;0;0;2;"['442040003636007_0', '442040003636008_0']";0;1;1;0;0;1;0;0;0;0;0;0;0;0;55;0;55;0;0;55;0;0;0;0;0;0;0;0;121;"UN APPARTEMENT"
